coicop,date,weighted_yes_no,values
Inflation globale,2015-11-01,Écart-type pondéré,0.003537219715216135
Inflation sous-jacente,2015-10-01,Écart-type non-pondéré,0.007877182237323192
Inflation globale,2015-10-01,Écart-type non-pondéré,0.008192422686463646
Inflation sous-jacente,2015-10-01,Écart-type pondéré,0.008542693878174273
Inflation globale,2015-10-01,Écart-type pondéré,0.006778460724987658
Inflation sous-jacente,2015-09-01,Écart-type non-pondéré,0.007571414385005862
Inflation globale,2015-09-01,Écart-type non-pondéré,0.008363297007885424
Inflation sous-jacente,2015-09-01,Écart-type pondéré,0.00828136520672692
Inflation globale,2015-09-01,Écart-type pondéré,0.006277507318843853
Inflation sous-jacente,2015-08-01,Écart-type non-pondéré,0.00728715524597544
Inflation globale,2015-08-01,Écart-type non-pondéré,0.007619918496594096
Inflation sous-jacente,2015-08-01,Écart-type pondéré,0.00831945135289661
Inflation globale,2015-08-01,Écart-type pondéré,0.005655867617696592
Inflation sous-jacente,2015-07-01,Écart-type non-pondéré,0.007917169882437059
Inflation globale,2015-07-01,Écart-type non-pondéré,0.00874131147573346
Inflation sous-jacente,2015-07-01,Écart-type pondéré,0.008166751900419347
